record_uuid,annotator_id,task,language,inserted_at,created_at,record_status,query,chunk,chunk_id,doc_id,chunk_rank,topically_relevant,evidence_sufficient,misleading,notes,constraint_violated,constraint_details
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,alice,retrieval,en,2026-04-01T23:25:01.751039,2026-04-01T23:53:36.339459,completed,What are the key principles of Germany's social market economy?,The social market economy (Soziale Marktwirtschaft) is Germany's socioeconomic model combining a free-market capitalist economy with social policies that establish fair competition and a welfare state. The concept was developed by economists Alfred Mueller-Armack and Ludwig Erhard after World War II.,sme-01,ordo-economics-handbook,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,ops_admin,retrieval,en,2026-04-01T23:25:01.751039,2026-04-01T23:53:36.339459,completed,What are the key principles of Germany's social market economy?,The social market economy (Soziale Marktwirtschaft) is Germany's socioeconomic model combining a free-market capitalist economy with social policies that establish fair competition and a welfare state. The concept was developed by economists Alfred Mueller-Armack and Ludwig Erhard after World War II.,sme-01,ordo-economics-handbook,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,alice,retrieval,de,2026-04-01T23:25:01.751024,2026-04-01T23:53:34.771973,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,"Fuer reglementierte Berufe (z.B. Aerzte, Apotheker, Rechtsanwaelte) ist die Anerkennung des auslaendischen Abschlusses durch die zustaendige Berufsbehoerde gesetzlich vorgeschrieben. Die Rechtsgrundlage bildet das Berufsqualifikationsfeststellungsgesetz (BQFG).",edu-de-02,bqfg-kommentar,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,ops_admin,retrieval,de,2026-04-01T23:25:01.751024,2026-04-01T23:53:34.771973,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,"Fuer reglementierte Berufe (z.B. Aerzte, Apotheker, Rechtsanwaelte) ist die Anerkennung des auslaendischen Abschlusses durch die zustaendige Berufsbehoerde gesetzlich vorgeschrieben. Die Rechtsgrundlage bildet das Berufsqualifikationsfeststellungsgesetz (BQFG).",edu-de-02,bqfg-kommentar,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,alice,retrieval,en,2026-04-01T23:25:01.751047,2026-04-01T23:53:37.769316,completed,What are the key principles of Germany's social market economy?,The Bundeskartellamt (Federal Cartel Office) enforces competition law to prevent market dominance and cartels. It operates under the Act against Restraints of Competition (GWB) and has authority to block mergers that would significantly impede effective competition.,sme-02,bundeskartellamt-overview,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,ops_admin,retrieval,en,2026-04-01T23:25:01.751047,2026-04-01T23:53:37.769316,completed,What are the key principles of Germany's social market economy?,The Bundeskartellamt (Federal Cartel Office) enforces competition law to prevent market dominance and cartels. It operates under the Act against Restraints of Competition (GWB) and has authority to block mergers that would significantly impede effective competition.,sme-02,bundeskartellamt-overview,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,alice,retrieval,en,2026-04-01T23:25:01.750982,2026-04-01T23:53:39.118282,completed,What is the current state of broadband coverage in rural Germany?,"The Federal Ministry for Digital and Transport published the Gigabit Strategy in July 2022, targeting nationwide gigabit coverage by 2030. The strategy prioritises underserved areas where market-driven deployment is not commercially viable.",bb-de-02,bmvi-gigabit-strategy,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,ops_admin,retrieval,en,2026-04-01T23:25:01.750982,2026-04-01T23:53:39.118282,completed,What is the current state of broadband coverage in rural Germany?,"The Federal Ministry for Digital and Transport published the Gigabit Strategy in July 2022, targeting nationwide gigabit coverage by 2030. The strategy prioritises underserved areas where market-driven deployment is not commercially viable.",bb-de-02,bmvi-gigabit-strategy,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,alice,retrieval,en,2026-04-01T23:25:01.750989,2026-04-01T23:53:43.197545,completed,What is the current state of broadband coverage in rural Germany?,"Germany's fibre-to-the-home (FTTH) deployment has historically lagged behind European peers. The FTTH Council Europe reports German FTTH coverage at approximately 19% nationally, with rural penetration estimates varying between 8% and 14% depending on the data source.",bb-de-03,ftth-council-2024,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,ops_admin,retrieval,en,2026-04-01T23:25:01.750989,2026-04-01T23:53:43.197545,completed,What is the current state of broadband coverage in rural Germany?,"Germany's fibre-to-the-home (FTTH) deployment has historically lagged behind European peers. The FTTH Council Europe reports German FTTH coverage at approximately 19% nationally, with rural penetration estimates varying between 8% and 14% depending on the data source.",bb-de-03,ftth-council-2024,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
